timestamp,year,month,day,hour,day_of_week,day_of_year,is_weekend,is_holiday,season,temperature_C,humidity_pct,wind_speed_ms,cloud_cover_pct,solar_irradiance_wm2,industrial_load_mw,residential_load_mw,commercial_load_mw,total_demand_mw,demand_lag_24h,demand_lag_168h,demand_rolling_mean_24h,solar_generation_mw,wind_generation_mw,renewable_generation_mw,conventional_generation_mw,grid_frequency_hz,reserve_margin_pct,fuel_price_gas_eur_mwh,fuel_price_coal_eur_mwh,carbon_price_eur_ton,electricity_price_eur_mwh,price_volatility_index,feeder_id,criticality_score,load_shed_flag,load_shed_amount_mw,load_shed_priority_tier
2020-01-01 00:00:00,2020,1,1,0,2,1,0,1,Winter,11.44,78.8,2.59,26.3,0.0,187.08,159.63,84.44,414.26,,,414.26,0.0,7.46,7.46,399.17,49.993,61.82,30.61,15.81,24.04,75.77,0.0,FDR_03,8,0,0.0,NoShed
2020-01-01 01:00:00,2020,1,1,1,2,1,0,1,Winter,9.34,75.0,3.07,39.2,19.8,179.64,155.5,78.98,398.32,,,406.29,12.41,0.0,12.41,389.96,50.002,63.38,30.61,15.81,24.12,78.5,1.93,FDR_10,10,0,0.0,NoShed
2020-01-01 02:00:00,2020,1,1,2,2,1,0,1,Winter,9.95,71.8,2.77,63.4,0.0,198.1,176.59,96.19,451.64,,,421.41,7.52,7.23,14.75,442.55,49.993,55.19,30.62,15.82,24.08,66.69,6.18,FDR_05,7,1,2.22,Tier2_Medium
2020-01-01 03:00:00,2020,1,1,3,2,1,0,1,Winter,10.66,61.6,6.33,20.1,19.5,175.65,189.19,67.16,418.57,,,420.7,5.74,26.33,32.07,380.02,49.976,62.66,30.62,15.82,24.15,72.28,5.09,FDR_05,10,0,0.0,NoShed
2020-01-01 04:00:00,2020,1,1,4,2,1,0,1,Winter,6.11,71.4,3.67,3.7,0.0,191.86,181.74,90.14,445.71,,,425.7,0.0,1.78,1.78,455.46,50.02,55.95,30.63,15.82,24.24,85.06,6.86,FDR_07,2,0,0.0,NoShed
2020-01-01 05:00:00,2020,1,1,5,2,1,0,1,Winter,5.15,71.0,4.41,12.9,1.3,199.99,214.22,85.4,482.53,,,435.17,1.19,12.77,13.96,467.95,50.015,54.56,30.63,15.82,24.17,75.68,6.14,FDR_02,6,0,0.0,NoShed
2020-01-01 06:00:00,2020,1,1,6,2,1,0,1,Winter,7.95,74.3,7.78,27.7,33.8,359.56,220.11,90.27,651.89,,,466.13,11.03,47.33,58.36,591.24,49.956,39.09,30.64,15.82,24.13,84.08,6.44,FDR_04,9,0,0.0,NoShed
2020-01-01 07:00:00,2020,1,1,7,2,1,0,1,Winter,5.69,62.1,3.21,0.0,138.7,361.08,260.57,227.0,803.25,,,508.27,39.1,0.0,39.1,763.11,49.965,25.79,30.65,15.83,24.22,87.42,7.04,FDR_03,10,0,0.0,NoShed
2020-01-01 08:00:00,2020,1,1,8,2,1,0,1,Winter,2.81,71.5,7.76,40.4,226.6,348.56,285.22,222.86,812.07,,,542.03,76.37,55.79,132.16,685.04,49.987,23.24,30.63,15.83,24.2,93.19,8.27,FDR_01,5,0,0.0,NoShed
2020-01-01 09:00:00,2020,1,1,9,2,1,0,1,Winter,4.7,77.5,4.54,94.5,145.8,369.97,257.36,211.92,796.87,,,567.51,53.13,14.64,67.77,725.25,50.012,27.15,30.62,15.83,24.24,93.48,8.91,FDR_08,3,0,0.0,NoShed
2020-01-01 10:00:00,2020,1,1,10,2,1,0,1,Winter,2.83,70.1,4.8,0.0,419.7,352.47,224.43,211.81,746.35,,,583.77,134.38,13.24,147.62,586.71,50.034,30.26,30.62,15.83,24.21,88.74,8.75,FDR_10,1,0,0.0,NoShed
2020-01-01 11:00:00,2020,1,1,11,2,1,0,1,Winter,3.22,68.1,7.75,4.4,451.5,364.44,199.11,206.38,728.65,,,595.84,149.27,49.78,199.05,527.28,50.006,33.94,30.63,15.82,24.15,80.98,8.35,FDR_02,2,0,0.0,NoShed
2020-01-01 12:00:00,2020,1,1,12,2,1,0,1,Winter,5.27,67.5,3.21,28.1,392.1,375.77,178.74,210.53,722.93,,,605.62,132.21,9.99,142.2,579.34,49.997,31.47,30.63,15.82,24.17,85.4,8.05,FDR_02,1,0,0.0,NoShed
2020-01-01 13:00:00,2020,1,1,13,2,1,0,1,Winter,1.79,74.4,3.68,53.2,293.9,367.7,177.42,215.41,717.45,,,613.61,94.35,1.92,96.27,623.55,50.003,34.91,30.64,15.82,24.17,90.13,8.03,FDR_03,10,0,0.0,NoShed
2020-01-01 14:00:00,2020,1,1,14,2,1,0,1,Winter,3.13,56.5,4.87,21.6,381.6,366.31,214.82,200.11,741.22,,,622.11,132.04,11.08,143.12,607.75,49.985,33.58,30.65,15.82,24.17,85.16,7.76,FDR_05,1,0,0.0,NoShed
2020-01-01 15:00:00,2020,1,1,15,2,1,0,1,Winter,6.49,66.8,8.56,30.1,321.5,353.14,214.76,219.68,743.64,,,629.71,104.81,72.99,177.8,570.79,50.028,29.39,30.66,15.82,24.13,81.57,7.51,FDR_09,1,0,0.0,NoShed
2020-01-01 16:00:00,2020,1,1,16,2,1,0,1,Winter,6.63,80.3,5.18,26.5,241.5,352.21,211.27,194.6,719.16,,,634.97,75.92,11.34,87.26,627.66,49.981,32.19,30.66,15.82,24.18,95.98,7.94,FDR_09,7,0,0.0,NoShed
2020-01-01 17:00:00,2020,1,1,17,2,1,0,1,Winter,10.24,72.4,3.72,23.6,193.9,365.35,252.53,214.14,789.19,,,643.54,70.14,9.82,79.96,707.99,49.972,26.24,30.66,15.82,24.26,100.69,8.7,FDR_09,10,0,0.0,NoShed
2020-01-01 18:00:00,2020,1,1,18,2,1,0,1,Winter,8.63,74.5,4.78,41.7,56.1,353.64,294.46,210.94,816.85,,,652.66,15.35,8.7,24.05,789.52,49.989,24.5,30.67,15.82,24.19,98.83,9.07,FDR_06,8,0,0.0,NoShed
2020-01-01 19:00:00,2020,1,1,19,2,1,0,1,Winter,8.26,56.8,2.86,37.2,0.0,363.44,308.43,211.25,840.87,,,662.07,0.0,2.82,2.82,833.79,49.981,21.13,30.67,15.83,24.26,95.48,9.12,FDR_01,6,0,0.0,NoShed
2020-01-01 20:00:00,2020,1,1,20,2,1,0,1,Winter,14.41,63.2,3.37,70.9,0.0,358.3,268.0,212.55,796.34,,,668.46,2.76,4.0,6.76,787.2,50.014,27.87,30.67,15.83,24.26,85.99,8.89,FDR_08,4,0,0.0,NoShed
2020-01-01 21:00:00,2020,1,1,21,2,1,0,1,Winter,11.16,68.1,2.62,61.4,3.6,373.5,254.6,76.69,689.45,,,669.42,0.0,0.36,0.36,690.47,50.013,36.8,30.68,15.83,24.19,85.29,8.68,FDR_06,4,0,0.0,NoShed
2020-01-01 22:00:00,2020,1,1,22,2,1,0,1,Winter,11.61,72.4,4.79,8.7,3.9,210.42,204.61,90.06,487.08,,,661.49,0.0,15.08,15.08,472.55,50.008,55.6,30.67,15.82,24.22,82.87,8.5,FDR_05,5,0,0.0,NoShed
2020-01-01 23:00:00,2020,1,1,23,2,1,0,1,Winter,8.23,80.3,3.97,31.3,0.0,174.1,201.24,89.41,446.87,,,652.55,6.13,0.0,6.13,451.05,49.989,57.25,30.67,15.83,24.23,77.57,8.48,FDR_06,2,0,0.0,NoShed
2020-01-02 00:00:00,2020,1,2,0,3,2,0,0,Winter,9.15,78.3,5.42,45.0,6.4,184.65,190.65,88.6,463.9,414.26,,654.62,0.14,15.46,15.6,445.59,49.991,58.47,30.77,15.84,24.22,79.56,8.32,FDR_10,9,0,0.0,NoShed
